,Video_id,Title,Published_date,Views,Likes,Comments,Channel_Title,Month
43,xtAaaSK8tz8,#04 Nagaland Meat Market mai ye sab bhi milta hai 😲,2022-12-11,7962676,383797,1510,Monkey Magic,Dec
44,8nxZ0YzL6Cc,#03 BHEEM yahan Chess khelte the?? 😮,2022-12-10,982635,116540,277,Monkey Magic,Dec
45,hJWglzMUKKs,#02 Rajdhani Train mai Party 🚂,2022-12-09,891801,118871,403,Monkey Magic,Dec
46,8lB12eaOeZ8,#01 Nagaaaland!!! Here I come 🥰😎🤗🫂,2022-12-08,858547,113006,497,Monkey Magic,Dec
47,FbKRK4L-R3Y,My New Youtube Studio!! ✊🏽😎🥰🤗,2022-11-25,354254,31843,2125,Monkey Magic,Nov
48,hBv0VoOJIw0,Next Trip JAPAN??? (update) #shorts,2022-11-18,3097641,351836,1039,Monkey Magic,Nov
49,sJlu2NZRVzo,How Travelling 100 Days across India changed me 🇮🇳,2022-10-26,417757,36522,3534,Monkey Magic,Oct
50,C0myj6_R6zg,Live Q&A + Play Button Unboxing!!!!,2022-10-16,251721,22655,1366,Monkey Magic,Oct
51,RICdX9SBwvA,I Travelled India 🇮🇳  for 100 Days straight | 100 Days of Dreaming (Compilation) | Monkey Magic,2022-10-12,948861,64095,3408,Monkey Magic,Oct
52,J1t6msRU9rs,#100 Cost of Travelling 100 Days in India - FINAL EPISODE #100daysofdreaming #shorts,2022-10-10,3579581,487403,5811,Monkey Magic,Oct
53,VqFShtTtOYU,#099 Goodbye beautiful friends :)  #100daysofdreaming #shorts,2022-10-09,2418743,373989,4022,Monkey Magic,Oct
54,VIImA74oLMU,#098 En 100 days mai maine kya seekha? #100daysofdreaming #shorts,2022-10-08,1753930,277782,755,Monkey Magic,Oct
55,6dcADkk1GGw,#097  Ekta Kapoor ki kisi script se zada Drama hogya #100daysofdreaming  #shorts,2022-10-07,2587558,328173,495,Monkey Magic,Oct
56,oSbiKRnE30A,"#096 Night at 2500 saal purani Cave Monastery - Phugtal Gompa, Zanskar  #100daysofdreaming #shorts",2022-10-06,1969902,259395,594,Monkey Magic,Oct
57,FbrX_7p3KjI,#095 Dangerous Hike to Phugtal Monastery   #100daysofdreaming #shorts,2022-10-05,1268152,177553,518,Monkey Magic,Oct
58,3wdIsFbWKLE,#094 Zanskar mai 23km lamba Glacier dekha - Drang Drung Glacier #100daysofdreaming #shorts,2022-10-04,1554646,227505,571,Monkey Magic,Oct
59,BuOgBS2qkOA,#093 वीर Captain Vikram Batra ki Bahaduri aur Tiger Hill  #100daysofdreaming #shorts,2022-10-03,1698581,268726,1118,Monkey Magic,Oct
60,IOCA3enoCWA,#092 KARGIL WAR MEMORIAL #100daysofdreaming #shorts,2022-10-02,1139468,182486,469,Monkey Magic,Oct
61,M2DogXqFnkQ,#091 GHOST VILLAGE of Kargil (Hundarman Village) #100daysofdreaming #shorts,2022-10-01,1758067,223994,497,Monkey Magic,Oct
62,lByrI9NKeIk,"#090 Muharram at Kargil, Ladakh #100daysofdreaming #shorts",2022-09-30,1496828,214190,888,Monkey Magic,Sep
63,ynWZ0ZXWyyI,#089 LEH se aagye KARGIL.. full style mai 😎 #100daysofdreaming #shorts,2022-09-29,1750141,247574,553,Monkey Magic,Sep
64,qoXB59NlNFY,I went to Ladakh (36+ Hours) in a local HRTC Bus 🚌 | Monkey Magic,2022-09-28,1305821,69716,1746,Monkey Magic,Sep
