,Video_id,Title,Published_date,Views,Likes,Comments,Month
790,sXu7PBJRTFM,VS Code Tricks you might not want to miss 🔥🔥,2021-06-08,411672,14341,1233,Jun
791,t8JRidxZCXU,What is Data Science?,2021-06-07,1417877,55387,1432,Jun
792,pAczUF4aFxg,Install Ubuntu Full GUI Desktop on an Ubuntu VPS,2021-06-07,79561,2686,291,Jun
793,p2n1_hkKNj4,A better Postman alternative for VS Code Users,2021-06-07,49226,2972,438,Jun
794,lsf060bLH_Y,What is Machine Learning?,2021-06-06,516982,27615,1411,Jun
795,tnJBalPzeAo,How deploy a Django application using Nginx & Gunicorn in Production,2021-06-06,67745,1688,276,Jun
796,oSIv-E60NiU,MongoDb Tutorial For Beginners in Hindi 🔥🔥,2021-06-05,824439,25961,1941,Jun
797,Duew2F6DwCk,Every freelancer must learn *this* skill!,2021-06-04,147262,10568,885,Jun
798,mCKKKGCyugM,How to install phpMyAdmin on Nginx (in 5 minutes),2021-06-04,11753,429,194,Jun
799,D4ou3geDstk,How to install LEMP stack on Ubuntu VPS?,2021-06-03,12141,534,243,Jun
800,jVKw5njDpVc,How to Open Remote Server directly in VS Code (in 2 mins)!,2021-06-02,24959,1008,195,Jun
801,Wa2rnINf_tg,How to enable HTTPs on Your Website in 2 minutes?,2021-06-02,54431,2255,281,Jun
802,NboJeJTRzic,How to install phpMyAdmin on Ubuntu?,2021-06-01,22598,834,189,Jun
803,BEGtS3XE6j4,How to Host Multiple Websites on One Server,2021-05-31,44940,1664,304,May
804,BNmxUzPRYdw,CSS Grid Tutorial For Beginners in Hindi 🔥🔥,2021-05-30,217927,8019,591,May
805,5qVuORLniwM,CSS Flexbox Tutorial For Beginners in Hindi 🔥🔥,2021-05-30,340379,13723,1022,May
806,zWTRNXmtVYM,"Installing Linux, Apache, MySQL, PHP (LAMP) Stack on Ubuntu 20.04",2021-05-30,42494,1560,257,May
807,qEw8qlRX05A,5 Web Development Tools I Use to Increase Productivity,2021-05-29,110117,7576,1126,May
808,pMJ0_pj5IJI,Uploading Files & PasswordLess Login on Ubuntu VPS,2021-05-28,33786,1836,427,May
809,MdF6H0WAhSk,Configuring a non root user & firewall on a brand new Ubuntu 20.04 server,2021-05-27,103144,4200,646,May
810,DYdVXqXhWyw,Use this Frontend Backend combination to become a successful Web Developer!,2021-05-24,580547,25821,1635,May
811,W7kSd1nSrJI,Single Page Applications: Why & When to use React/Angular/Vue.js?,2021-05-09,278515,12533,2187,May
812,2ZDnw6ifdSI,Coding Snake Game In JavaScript,2021-05-05,596034,23250,2152,May
813,Edsxf_NBFrw,CSS Tutorial In Hindi (With Notes) 🔥,2021-04-27,4590989,104868,14266,Apr
814,RGKi6LSPDLU,React Tutorial in Hindi 🔥🔥,2021-04-14,2101446,53724,5475,Apr
815,0LhBvp8qpro,Angular Tutorial in Hindi,2021-04-10,1213456,28970,3415,Apr
816,se90RpDlrHg,One Effective Trick to Earn Money From Blogging (Quickly & Easily),2021-04-07,106111,6768,817,Apr
817,MiYFenzWruE,Reason Why People Fail Learning To Code!,2021-04-04,921064,53965,3125,Apr
818,O-Eh2r2_nZU,How To Create Deepfake Videos In 5 Minutes (Hindi),2021-03-28,370256,14757,1276,Mar
819,6sy8Si574AU,Blogging as Your Next Income Stream - The Complete Guide 🔥,2021-03-21,344495,19794,2640,Mar
820,l-oKej2n6mY,Setup Tour + My Monster Gaming PC Build 🔥,2021-03-19,532467,31188,2115,Mar
821,BsDoLVMnmZs,HTML Tutorial For Beginners In Hindi (With Notes) 🔥,2021-03-17,8387732,241546,23682,Mar
822,oA8brF3w5XQ,Python Flask Web Development Tutorial in Hindi,2021-03-10,525499,13419,2329,Mar
823,mXjZQX3UzOs,Android Development Tutorial For Beginners In Hindi (With Notes) 🔥,2021-03-07,4200118,161002,14951,Mar
824,j-k6ppZZ-ho,Exercise 7: Solutions + Shoutouts,2021-03-05,132998,3399,1123,Mar
825,K4iaIuPx7Go,Advanced Java 2 - Practice Set,2021-03-03,71304,1870,335,Mar
826,Vy2l3lGAb2I,File Handling in Java,2021-03-01,185078,4691,406,Mar
827,BsBK3UZ0RGM,Java Generics,2021-02-28,118153,3456,241,Feb
828,FTk7bGPAYpo,Java Anonymous Classes & Lambda Expressions,2021-02-24,81166,2912,378,Feb
829,jy8Glegc5Xo,Annotations in Java,2021-02-21,65928,2424,450,Feb
830,gZJXbmC8Yno,Javadocs: Method Tags For Generating java Documentation,2021-02-19,33783,1599,157,Feb
831,u7hFzG1n4mg,Javadocs: Tags for Documenting Classes,2021-02-18,38937,1903,172,Feb
832,IrSbN7Y2lOA,Generating our own JavaDocs for our Package,2021-02-17,45042,2152,282,Feb
833,IgPDDiFcA88,Java Exercise 7: Library Management System in Java,2021-02-15,57384,1911,290,Feb
834,KRIb4hm6uDI,Java Exercise 6: Solution | Custom Calculator,2021-02-13,42064,1733,242,Feb
835,-b93mslJ2j8,Advanced Java Practice Set,2021-02-11,68452,2369,220,Feb
836,icQM98mzlG0,DateTimeFormatter in Java,2021-02-10,51404,2506,184,Feb
837,LfxKvn2Ri4E,java.time API - Classes & Methods,2021-02-09,51796,2986,788,Feb
838,2a6zZBrT92o,GregorianCalendar class & TimeZone in java,2021-02-08,46396,2565,236,Feb
839,5v2XK-HIRnc,Calendar Class in Java,2021-02-06,63523,2871,317,Feb
840,AykO23IwSLw,The Date Class in Java,2021-02-04,55955,2697,296,Feb
841,PCJRuBQa4Pk,Date and Time in Java,2021-02-03,78079,3363,429,Feb
842,QzgrUVW23oo,How Long Should You Code in a Day?,2021-02-02,389622,25643,1428,Feb
843,tqC_U2Y7rr4,HashSet in Java,2021-02-01,85167,3267,198,Feb
844,-OXr-5-82Og,0 to 1 Million - My Story | About CodeWithHarry 🔥🔥,2021-01-30,565647,65817,9466,Jan
845,JVdMD3r7dSs,Hashing in Java,2021-01-28,123357,4655,527,Jan
846,ph3E5TUAvHk,These Cool Command Prompt Tricks Will Amaze You!,2021-01-26,1095199,46718,2068,Jan
847,XnPl8Mm3E_g,Don't Make These Coding Mistakes,2021-01-25,139673,10871,877,Jan
848,07HKJO4B96M,ArrayDeque in Java,2021-01-23,71105,3401,268,Jan
849,ShZUaCGyLgE,"Creating a CheatSheet Template using HTML, CSS & JavaScript",2021-01-21,113272,5191,661,Jan
850,as7NxafufoQ,10 Amazing Keyboard Shortcuts You Aren't Using!,2021-01-20,539627,35759,1936,Jan
851,6uE4nfFgc5Q,Complete Roadmap To Learn Machine Learning (PDF Included),2021-01-19,592735,28327,1311,Jan
852,sF0q6t1Q_Xc,Should You Learn jQuery in 2021?,2021-01-17,87549,4137,482,Jan
853,B5JZz9XIgCY,5 Hacks to Maximize Your Productivity as a Coder,2021-01-15,142836,9311,816,Jan
854,eAyUSV164Ro,LinkedList in Java: Demo & Methods,2021-01-14,121273,4290,365,Jan
855,hxUGjnVaPgE,ArrayList in Java: Demo & Methods,2021-01-13,152650,5393,632,Jan
856,3HO65WF1sPY,How to View Java Documentation (Correct Way),2021-01-12,79231,3337,150,Jan
857,M5DlD4VMNO8,Collections Hierarchy in Java,2021-01-10,85869,3610,217,Jan
858,s8yrPZlvNP0,Java Collections Framework,2021-01-09,165108,5045,245,Jan
859,93CDUtPjCPk,Java Exercise 6: Custom Calculator | Java Practice Question,2021-01-08,48807,2132,323,Jan
860,iH9Hkh9C-YM,Practice Set on Errors & Exceptions,2021-01-06,59771,2660,291,Jan
861,a0TkfbAGuKw,Finally Block in Java & Why is it needed!,2021-01-05,80485,3995,269,Jan
862,sOcZgWyoQuk,Throw vs Throws in Java,2021-01-04,142582,5559,263,Jan
863,UZIIY5CK0TM,The Exception class in Java,2021-01-03,123249,4683,298,Jan
864,To6tsfRADL4,Nested Try-Catch in Java,2021-01-02,91347,4266,248,Jan
865,hvpWue4d8bY,Top 5 Programming Languages To Learn for Jobs,2021-01-01,446457,22761,1671,Jan
866,UXvMSMnYAzE,Handling Specific Exceptions in Java,2020-12-31,105269,4596,287,Dec
867,bMhDwdT5AHw,Try Catch Block in Java,2020-12-30,139469,5895,196,Dec
