,Video_id,Title,Published_date,Views,Likes,Comments,Channel_Title,Month
66,Lnq8fAcdAXo,Who Has The Best Monsoon Snacks? | BuzzFeed India,2022-07-09,430656,17159,794,BuzzFeed India,Jul
67,RAvf-E0e180,I Tried Recreating The McDonald's McAloo Tikki | BuzzFeed India,2022-07-02,198321,9257,184,BuzzFeed India,Jul
68,yrmB57aTNXQ,Who Has The Best Biryani Order? | BuzzFeed India,2022-06-25,545726,21238,617,BuzzFeed India,Jun
69,H7RtzobYSyo,I Swapped Diets With An Australian Chef | BuzzFeed India,2022-06-18,215102,9109,197,BuzzFeed India,Jun
70,cjsEfXyMHro,Besties Go Shopping For Pride | BuzzFeed India,2022-06-11,42009,2112,101,BuzzFeed India,Jun
71,IpWHSFQD-gU,Who Has The Best Iced Coffee Order? | BuzzFeed India,2022-06-04,276309,12160,423,BuzzFeed India,Jun
72,gghR8V6M1k0,Taste Testing Canadian Snacks | BuzzFeed India,2022-05-28,284082,11610,323,BuzzFeed India,May
73,Vlt1SbGQLwk,Foodie Vs Non Foodie Swap Diets | BuzzFeed India,2022-05-21,382510,14861,271,BuzzFeed India,May
74,cGAD7nKc_rU,Do We Know Primary School Hindi Muhavare? | BuzzFeed India,2022-05-14,120235,5665,262,BuzzFeed India,May
75,HinD9saJpUA,Turning All My Food GREEN For A Day | BuzzFeed India,2022-05-07,127538,5994,251,BuzzFeed India,May
76,lGMUcHcdPmI,We (Almost) Hate Bollywood And Here's Why | BuzzFeed India,2022-04-30,39627,1376,317,BuzzFeed India,Apr
77,gu_t1G97uIc,Taste Testing A Nostalgic Chicken Curry Dish | BuzzFeed India,2022-04-23,66514,2998,75,BuzzFeed India,Apr
78,rKDyri0amiI,We Swapped Clothes For A Week | BuzzFeed India,2022-04-16,120611,5410,125,BuzzFeed India,Apr
79,M2lWpON7mbk,Can I Find A Date Based On Maggi Recipes? | BuzzFeed India,2022-04-09,238721,10025,190,BuzzFeed India,Apr
80,hFFxOWsNoCs,DRIPPIN Members Spill The Tea | BuzzFeed India,2022-04-06,56498,2993,95,BuzzFeed India,Apr
81,h__VW6u2xpc,Work Besties Swap Favourite Foods For a Day | BuzzFeed India,2022-04-02,676803,26210,364,BuzzFeed India,Apr
82,WdszGpm7oP8,We Transformed Into Badass Women From Bollywood | BuzzFeed India,2022-03-26,122908,6286,215,BuzzFeed India,Mar
83,ewFKrNqPzWE,Why Does Bollywood Suck At Representing Women? | BuzzFeed India,2022-03-19,156476,7708,280,BuzzFeed India,Mar
84,dgWv1RiGEj4,Women Face Their Biggest Fashion Fears | BuzzFeed India,2022-03-12,150747,7301,258,BuzzFeed India,Mar
85,9ZkHtMx33sU,Can I Wear Euphoria Makeup Every Day? | BuzzFeed India,2022-03-05,115293,5652,136,BuzzFeed India,Mar
86,wO4mGKZPwv0,Can We Style Euphoria Looks from Amazon India? | BuzzFeed India,2022-02-26,82413,5065,207,BuzzFeed India,Feb
87,O7jLJ1dqwCg,We Are Live From BuzzFeed India,2022-02-19,47136,1630,35,BuzzFeed India,Feb
88,tAhL_lb3gYQ,BuzzFeed India Live Stream,2022-02-18,0,0,0,BuzzFeed India,Feb
89,B7B5V0pGz6o,Long Distance Couple Surprises Each Other For Valentine's Day | BuzzFeed India,2022-02-12,145406,8842,506,BuzzFeed India,Feb
90,RruAifFYogw,Can I Cook An Entire Kerala Sadhya By Myself? | BuzzFeed India,2022-02-09,201773,9227,533,BuzzFeed India,Feb
91,smbEraeMHpM,I Wore Emily In Paris Inspired Outfits For A Week | BuzzFeed India,2022-01-29,124121,7841,299,BuzzFeed India,Jan
92,zovJoql8HGg,Work Besties Swap Morning & Night Routines | Aishwarya and Aniket | BuzzFeed India,2022-01-22,183117,8736,200,BuzzFeed India,Jan
93,yN7KFQPb3-g,We Tried The Most Unusual Foods We Could Find | BuzzFeed India,2022-01-15,473342,18391,603,BuzzFeed India,Jan
94,RvQbL-2u1Ng,Work Friends Swap New Year Mystery Boxes | BuzzFeed India,2022-01-08,189563,11180,260,BuzzFeed India,Jan
95,dtJzFPF5d2Q,Who Has The Best New Year's Eve Order? | BuzzFeed India,2022-01-01,595640,25043,488,BuzzFeed India,Jan
96,wDGIGVph4LE,BuzzFeed India Glitching for 11 Mins Straight,2021-12-29,117516,6142,214,BuzzFeed India,Dec
97,lKESp0x_vw4,Can I Cook This Christmas Recipe From Goa? | BuzzFeed India,2021-12-25,218484,9811,264,BuzzFeed India,Dec
98,NvKDikJ7iH0,Amateur Vs Expert Christmas Makeup Challenge | BuzzFeed India,2021-12-18,138436,7361,162,BuzzFeed India,Dec
99,kKaKAdxI-hE,Who Has The Best Street Food Order? | BuzzFeed India,2021-12-11,739980,27139,804,BuzzFeed India,Dec
100,NwUlks3vejY,Can I Cook A Tamizh Thaali? | Bloopers | BuzzFeed India,2021-12-07,77620,3339,32,BuzzFeed India,Dec
101,jCXyP_mlU9Q,Can I Cook A Tamizh Thali? | BuzzFeed India,2021-12-04,306589,13824,489,BuzzFeed India,Dec
