,Video_id,Title,Published_date,Views,Likes,Comments,Month
614,8CACsqPWpHo,Find Intersection point of 2 Linked List | Lecture 22.8,2021-01-09,90879,2231,260,Jan
615,v6g1g4lNowM,Append Last K Nodes of a Linked List | C++ Placement Course | Lecture 22.7,2021-01-08,75980,1745,180,Jan
616,c_dqAyQu84A,Doubly Linked List | Data Structures & Algorithms | C++ Placement Course | Lecture 22.6,2021-01-07,145108,3089,160,Jan
617,bgKYobOXTZ0,Challenge #1 for Web Development Course students | Forms,2021-01-07,323195,6708,978,Jan
618,6Cpd63_WXdI,Styling Forms in CSS | Web Development Course | Lecture 5 of CSS,2021-01-06,370417,6707,506,Jan
619,Fj1ywT9ETQk,Detection and Removal of Cycle in Linked List | Lecture 22.5,2021-01-04,131905,3283,344,Jan
620,LCRGV8avvUY,Reverse K Nodes in a Linked List | C++ Placement Course | Lecture 22.4,2021-01-03,145949,3012,369,Jan
621,wKPlQkOdpFQ,"Understanding Cascading , Specificity and Inheritance | CSS Lecture 4",2020-12-22,394461,8468,914,Dec
622,C01LeeMhwHc,Understanding Box Model | Styling List and Tables | CSS Lecture 3,2020-12-21,521118,11033,409,Dec
623,bjtMCwy_LMA,Reverse a Linked List | C++ Placement Course | Lecture 22.3,2020-12-20,211469,4345,359,Dec
624,4nC4VXHlys8,Properties in CSS | Web Development Course | CSS Lecture 2,2020-12-19,672237,13839,561,Dec
625,kvk8gfAJLeg,Deletion in Linked List | C++ Placement Course | Lecture 22.2,2020-12-19,178785,3059,190,Dec
626,sqJ6xZ9mUwE,CSS - What is selectors? | Web Development Course,2020-12-18,1129568,22221,863,Dec
627,Crqgl10aIGQ,Introduction to Linked List | C++ Placement Course | Lecture 22,2020-12-17,573216,9701,731,Dec
628,cja3Hd3bwmY,CSS Course Announcement,2020-12-17,346419,23159,1337,Dec
629,61ppyY5rUB0,HTML | Structuring a Mega Project,2020-12-16,1149857,24047,1648,Dec
630,F5PbnZkHqmg,Polymorphism in Object Oriented Programming | C++ Placement Course Lecture 21.4,2020-12-16,274474,5877,346,Dec
631,jRAZlTEZi9I,HTML Course | Media Elements | Lecture 3,2020-12-15,1044542,22126,1268,Dec
632,7ZfEp71tIec,Inheritance in OOP's | C++ Placement Course | Lecture 21.3,2020-12-15,249307,5823,235,Dec
633,2QR11oDukn4,HTML Course | World's most premium HTML Course | Lecture 2,2020-12-14,1601870,31024,1895,Dec
634,Rek0NWPCNOc,HTML Course | From Beginners to Advance Level | Lecture 1,2020-12-13,3191765,80721,3871,Dec
635,l1EssrLxt7E,Introduction to Web Development | World's most premium Web Development Course | Lecture 0 (Reupload),2020-12-12,4106066,131232,5728,Dec
636,YscEcXRmBoY,Object Oriented Programming in C++ | Important Concept | Lecture 21.1,2020-12-08,607707,14304,635,Dec
637,N97M67GQTwI,Wave Sort | C++ Placement Course - 20.3,2020-12-05,69797,1932,134,Dec
638,2C4CQ32961Y,DNF Sort | C++ Placement Course  | Lecture 20.2,2020-12-05,84914,2472,105,Dec
639,sV4RhDIIKO0,Count Inversion - Merge Sort | C++ Placement Course - 19.3,2020-12-04,109195,2635,148,Dec
640,imqr13aIBAY,Count Sort | C++ Placement Course | Lecture 20.1,2020-12-04,130973,3156,264,Dec
641,Dl6HT-NM_q4,Quick Sort | Code and Explanation | C++ Course - 19.2,2020-12-03,270544,5622,243,Dec
642,14WBmf9nMsk,Web Development Roadmap - Salary up to 10-12Lakhs | Rapid #1,2020-12-02,287249,18553,1021,Dec
643,4z9I6ZmeLOQ,Merge Sort | Code and Explanation | C++ Course - 19.1,2020-12-02,328302,6846,384,Dec
644,yoZy5RicIPc,Vectors and Pair | C++ Course - 19,2020-12-02,217942,5101,354,Dec
645,4UIAOMWoD3I,Phod do - Bade aaram se | Motivation Meme #4,2020-12-01,643593,30589,942,Dec
646,1OkZKjxRokU,N-Queen Problem - Backtracking | C++ Placement Course - 18.2,2020-12-01,201759,5428,273,Dec
647,4BBB0mvvbGA,Backtracking - Rat in a Maze | C++ Placement Course | Lecture 18.1,2020-12-01,244808,6160,476,Dec
648,28okqq8raXM,Permutation - Return all possible permutations | C++ Placement Course | Lecture 17,2020-11-30,175051,3464,486,Nov
649,MjPurvtUs7U,Student during Exams | Motivational Memes,2020-11-29,932569,50687,2296,Nov
650,WZ6ZhiCg2_Q,How to write a Resume | For Beginners and Experienced | Ultimate Resume Guide,2020-11-29,394724,20780,651,Nov
651,VQVeAQVs1d8,Recursion | Last Lecture on Advanced Problems | Lecture 16.4,2020-11-28,111438,2703,343,Nov
652,9rt-hFcXd0M,Advanced Recursion Problems | C++ Placement Course | Lecture 16.4,2020-11-28,140892,2780,270,Nov
653,16uXCDeRvMU,Students after studying coding from Apna College ❤️ | Motivational Memes,2020-11-26,1480282,70920,2639,Nov
654,j9RG18jfnRY,7 Best Problems on Recursion | Recursion in C++ | Placement Course | Lec 16.3,2020-11-25,310295,5594,880,Nov
655,Sp0RJLGrBm4,"We have already lived 1/4th of our life, do you want to live the remaining 3 quarters the same way?",2020-11-22,165526,13805,892,Nov
656,7F3MYyw3Jmg,16.2 Recursion - Challenges | C++ Placement Course,2020-11-21,236113,4925,443,Nov
657,oSQbwlepoCU,16.1 Recursion - Introduction | C++ Placement Course,2020-11-20,304648,7695,356,Nov
658,IW4hJEgZLWI,15.2 Inclusion- Exclusion Principle | GCD  | C++ Placement Course,2020-11-19,140648,3904,198,Nov
659,nDPo9hsDNvU,15.1 Sieve of Eratosthenes | Challenge | C++ Placement Course,2020-11-18,227129,5499,369,Nov
660,WEpLyOc0bCE,14.3 BIT Manipulation | Challenges - Part 2 | Questions asked by Top MNC's,2020-11-17,156034,3592,446,Nov
661,s8l8NWII3qw,14.2 BIT Manipulation Challenges | C++ Placement Course,2020-11-16,193480,4473,376,Nov
662,MiJdgxTWaFs,14.1 BIT Manipulation in 11 minutes | C++ Placement Course,2020-11-15,312520,7130,376,Nov
663,1pVI0yiEBR8,13.2 Strings Challenges | C++ Placement Course,2020-11-13,253222,5850,404,Nov
664,W8hPsBquD6Y,13. Strings in C++  | Guaranteed Placement Course | Lecture 13,2020-11-11,468417,10733,655,Nov
665,CF1j_wMEbPA,"Roadmap to Off-campus Internship in 2nd Year 🔥 Google, Microsoft, Adobe etc",2020-11-10,710493,40820,1387,Nov
666,bbym08gSWvQ,12. Stack & Heap | C++ Placement Course,2020-11-10,285552,8573,326,Nov
667,gHxmAgedyDk,11. Pointers in C++ | Guaranteed Placement Course,2020-11-09,442336,11579,640,Nov
668,TkTgo_7ab0M,10. Character Arrays | C++ Placement Course,2020-11-08,302246,6371,535,Nov
669,xKZFAkSt2UU,"9.2 ""2D Array"" Challenges | Asked by Top MNC's | C++ Placement Course",2020-11-07,264226,6266,563,Nov
670,tIAydH3NnJk,"How to be a 5 Star Coder | Wildcard to Google, Facebook and top MNC's",2020-11-06,777666,41589,1716,Nov
671,Xx1tWbb37hY,9.1 Two Dimensional Arrays | 2D Arrays | C++ Placement Course,2020-11-05,403299,8316,541,Nov
672,0JYgnhnZFcE,8.6 Subarrays - Challenges | Questions asked by Top MNC's | C++ Placement Course,2020-11-02,371246,7429,1205,Nov
673,kJW_iXrwePE,8.5 Arrays - Q's asked by Top MNC's | C++ Placement Course,2020-11-01,478718,9571,1713,Nov
674,eJcBH0xvG98,8.4 Array Challenges | C++ Placement Course,2020-10-31,649141,12630,1409,Oct
675,3GC83dh4cf0,8.3.3 Insertion Sort | Sorting Algorithms | C++ Placement Course |,2020-10-30,576710,12214,530,Oct
676,xcPFUCh0jT0,8.3.2 Bubble Sort | Sorting in C++ | Guaranteed Placement Course,2020-10-29,565326,11989,494,Oct
677,dQa4A2Z0_Ro,8.3.1 Sorting in Arrays | Selection Sort |  C++ Placement Course,2020-10-27,754324,15814,1072,Oct
678,13ocRMSJy5M,8.2 Searching in Arrays | Linear and Binary Search | C++ Placement Course |,2020-10-26,739306,14881,1152,Oct
679,PyTK_g1l8V8,8.1 Introduction to Arrays in C++ | Guaranteed Placement Course,2020-10-25,704772,16191,879,Oct
680,rq_rwnveh8s,7.1 Time Complexity | C++ Placement Course,2020-10-24,619120,15616,805,Oct
681,lYnPK1svd-4,6.3 Advanced Placement Questions on Functions | C++ Placement Course,2020-10-23,570824,8647,2186,Oct
682,8vzk_JBKGcQ,6.2 Functions Challenges | C++ Guaranteed Course | Lecture 6.2,2020-10-22,583690,10808,875,Oct
683,83KtncYgHYQ,6.1 Functions in C++ | Guaranteed Placement Course,2020-10-21,632053,14525,548,Oct
684,6TzUHrAXytM,5.2 How to reverse a number | Check if a number is Prime or Armstrong | C++ Placement Course | # 5.2,2020-10-20,566852,11818,1049,Oct
685,0yn7irrHzM8,VS Code Installation for C++ in Windows | Step by step process explanation,2020-10-19,2562523,38602,3296,Oct
686,QIyugGzih4k,5.1 Binary Number System | Guaranteed Placement Course | Lecture 5.1,2020-10-18,594126,15918,484,Oct
687,k9OlCJFy5yo,4.2 Advanced Pattern Questions in C++ | Guaranteed Placement Course | Lecture 4.2,2020-10-17,634618,12383,1136,Oct
688,LfgAOZ1kKMw,4.1 Awesome Pattern Questions -1 | Guaranteed Placement Course,2020-10-15,1008284,20711,1267,Oct
689,JBgZxnAj4hg,3.3 Operators in C++ Programming | Guaranteed Placement Course | 3.3,2020-10-14,756198,17373,1013,Oct
690,G80-j_xnE_8,3.2 Switch-Case statement in C++ Programming | Guaranteed Placement Course | Lecture 3.2,2020-10-13,589184,14680,618,Oct
691,Stf7KBiA1vs,3.1 Break and Continue statement in C++ Programming | Guaranteed Placement Course | Lecture 3.1,2020-10-13,739239,16392,918,Oct
692,IlIn_D1RT7M,2.4 Introduction to Loops in C++ programming | Guaranteed Placement Course | Lecture 2.4,2020-10-12,918689,20838,1249,Oct
693,cyB3HNlQyjY,2.3 If/else statement in C++ programming | Data Structure and Algorithm Course | Lecture 2.3,2020-10-11,1011566,22969,1607,Oct
694,7dPdMtBX1d8,2.2 Input/Output in C++ | Data Structures and Algorithm Course in C++ | Lecture 2.2,2020-10-11,1190971,27062,1564,Oct
695,cnT1oW5_ePM,2.1 Data Types & Type Modifiers | Data Structures & Algorithms Course in C++ | Lecture 2.1,2020-10-10,1809262,44203,2618,Oct
