,Video_id,Title,Published_date,Views,Likes,Comments,Channel_Title,Month
29,4p-G7fGhqRk,Solving SQL Query | Rows to Column in SQL,2022-05-18,91228,2451,145,techTFQ,May
30,yLR1w4tZ36I,Procedure Tutorial in SQL | SQL Stored Procedure | Procedure in SQL,2022-05-01,120597,2550,152,techTFQ,May
31,-DiOp9vAEuM,my Live SQL Course Announcement #shorts,2022-04-05,16448,730,80,techTFQ,Apr
32,O1o9m9T1c3k,Best Online SQL Course to practically learn and practice SQL,2022-03-30,27967,540,119,techTFQ,Mar
33,7hZYh9qXxe4,Recursive SQL Queries Tutorial | Learn to write SQL Queries using Recursion,2022-03-23,99241,2728,232,techTFQ,Mar
34,aE623ff7zkM,Solving SQL Interview Queries | Tricky SQL Interview Queries,2022-03-16,162918,4173,389,techTFQ,Mar
35,eXJGjbDo5KY,How to learn SQL | Step by Step Guide on how to learn SQL,2022-03-02,115809,4155,333,techTFQ,Mar
36,O52sweYbCyI,ANSI vs Non ANSI Joins in SQL | SQL Query Writing using ANSI and Non ANSI method,2022-02-23,27524,627,84,techTFQ,Feb
37,cLSxasHg9WY,SQL Views Tutorial | VIEWS in SQL Complete Tutorial,2022-02-15,135205,3037,307,techTFQ,Feb
38,l6XhSFAyvO0,Practice Writing SQL Queries on StrataScratch | How to Solve SQL Queries,2022-02-08,119495,2973,181,techTFQ,Feb
39,nJIEIzF7tDw,Subquery in SQL | Correlated Subquery + Complete SQL Subqueries Tutorial,2022-02-01,564705,13381,884,techTFQ,Feb
40,RehbnzKHS28,SQL JOINS Tutorial for beginners | Practice SQL Queries using JOINS - Part 2,2022-01-14,156816,5307,438,techTFQ,Jan
41,0OQJDd3QqQM,SQL JOINS Tutorial for beginners | Practice SQL Queries using JOINS - Part 1,2022-01-06,436042,11117,817,techTFQ,Jan
42,V6KPbGLYL4A,How to get your 1st DATA ANALYST Job | Data Analyst Job | How to become a Data Analyst,2021-12-29,312059,11936,1031,techTFQ,Dec
43,OIqm909GYYo,BEST Online Courses to Learn SQL and Practice SQL Queries | BEST SQL Courses,2021-12-22,46946,1161,138,techTFQ,Dec
44,xN2PRAd8IZQ,REAL SQL Interview Question by a FAANG company | SQL Interview Query and Solution,2021-12-08,206577,4522,286,techTFQ,Dec
45,AK7_m-aThfw,Top 25 SQL Interview Questions and Answers(The BEST SQL Interview Questions),2021-12-01,497001,17184,481,techTFQ,Dec
46,CYszyA2Xzdg,Practice SQL Interview Questions on LeetCode | Solve SQL Interview Questions (Practice SQL Queries),2021-11-18,64227,1843,118,techTFQ,Nov
47,wT9ICgxRPYY,"Thank you for 10,000 Subscribers | Answering some of your questions",2021-11-06,1975,104,84,techTFQ,Nov
48,XruOBp7yPXU,Practice Writing SQL Queries using Real Dataset(Practice Complex SQL Queries),2021-10-28,129708,4232,297,techTFQ,Oct
49,SwSbnmqk3zY,Python Project to Scrape YouTube using YouTube Data API | Analyze and Visualize YouTube data,2021-10-13,60445,1971,190,techTFQ,Oct
50,8p_OzqIJ_p4,Practice Complex SQL Queries | SQL Query to fetch N consecutive records,2021-09-28,59925,2075,170,techTFQ,Sep
51,0Hhqf8L-b_0,ANACONDA Tutorial for Python | How to Install Anaconda on Mac OS and How to use Anaconda for Python,2021-09-21,62937,1063,79,techTFQ,Sep
52,M2NzvnfS-hI,Connect to PostgreSQL from Python (Using SQL in Python) | Python to PostgreSQL,2021-09-13,84624,2153,132,techTFQ,Sep
53,QNfnuK-1YYY,SQL WITH Clause | How to write SQL Queries using WITH Clause | SQL CTE (Common Table Expression),2021-09-05,323983,8115,526,techTFQ,Sep
54,PuBadaR8qC4,STEP by STEP guide to Learn Python | How to learn PYTHON,2021-08-29,8310,430,45,techTFQ,Aug
55,FNYdBLwZ6cE,Learn how to write SQL Queries(Practice Complex SQL Queries),2021-08-22,1073489,24890,970,techTFQ,Aug
56,zAmJPdZu8Rg,"SQL Window Function | How to write SQL Query using Frame Clause, CUME_DIST | SQL Queries Tutorial",2021-08-13,194185,7251,525,techTFQ,Aug
